latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-13.07915,132.41748,334.1,1.22,1.1,2023-09-22,0052,T,79,6.1NRT,310.15,21.29,D
-13.08544,132.39394,330.51,1.22,1.1,2023-09-22,0052,T,73,6.1NRT,308.38,17.94,D
-13.08716,132.40495,326.84,1.22,1.1,2023-09-22,0052,T,54,6.1NRT,309.98,11.55,D
-12.80799,130.58298,368.28,1.62,1.25,2023-09-22,0052,T,100,6.1NRT,307.32,194.3,D
-12.81035,130.59753,335.9,1.61,1.25,2023-09-22,0052,T,80,6.1NRT,305.75,45.04,D
-12.81907,130.58112,324.99,1.62,1.25,2023-09-22,0052,T,55,6.1NRT,306.81,18.38,D
-12.82142,130.59567,324.33,1.61,1.25,2023-09-22,0052,T,47,6.1NRT,307.21,17.38,D
-13.41378,134.43002,324.14,1.01,1.01,2023-09-22,0052,T,55,6.1NRT,309.5,8.21,D
-13.4165,134.44839,341.97,1.01,1.01,2023-09-22,0052,T,83,6.1NRT,313.76,30.03,D
-13.76805,136.89734,325.29,1.09,1.04,2023-09-22,0052,T,59,6.1NRT,303.74,14.37,D
-13.42272,134.42867,373.08,1.01,1.01,2023-09-22,0052,T,100,6.1NRT,313.3,115.57,D
-13.42408,134.43785,343.74,1.01,1.01,2023-09-22,0052,T,85,6.1NRT,313.14,34.5,D
-13.42544,134.44704,370.12,1.01,1.01,2023-09-22,0052,T,100,6.1NRT,314.78,101.46,D
-13.43166,134.42731,370.19,1.01,1.01,2023-09-22,0052,T,100,6.1NRT,311.16,106.36,D
-13.43302,134.43649,354.37,1.01,1.01,2023-09-22,0052,T,96,6.1NRT,312.7,58.12,D
-13.4459,134.45627,337.35,1.01,1.01,2023-09-22,0052,T,69,6.1NRT,311.89,22.76,D
-13.06668,131.94826,342.48,1.29,1.13,2023-09-22,0052,T,88,6.1NRT,308.69,43.22,D
-13.06855,131.95992,353.96,1.29,1.13,2023-09-22,0052,T,96,6.1NRT,310.59,76.76,D
-13.07042,131.97156,329.05,1.29,1.13,2023-09-22,0052,T,38,6.1NRT,310.48,11.79,D
-13.4521,134.43655,357.08,1.01,1.01,2023-09-22,0052,T,98,6.1NRT,306.76,66.14,D
-13.45347,134.44574,435.12,1.01,1.01,2023-09-22,0052,T,100,6.1NRT,326.54,531.77,D
-13.45484,134.45493,354.92,1.01,1.01,2023-09-22,0052,T,97,6.1NRT,314.97,57.41,D
-13.45621,134.46411,327.82,1.01,1.01,2023-09-22,0052,T,23,6.1NRT,312.69,8.55,D
-13.08042,131.96994,336.18,1.29,1.13,2023-09-22,0052,T,81,6.1NRT,311.98,25.44,D
-13.46104,134.4352,347.02,1.01,1.01,2023-09-22,0052,T,92,6.1NRT,309.85,42.93,D
-13.46241,134.4444,403,1.01,1.01,2023-09-22,0052,T,100,6.1NRT,320.07,260.22,D
-13.46377,134.45358,362.95,1.01,1.01,2023-09-22,0052,T,100,6.1NRT,316.52,77.28,D
-13.46514,134.46277,348.73,1.01,1.01,2023-09-22,0052,T,93,6.1NRT,315.3,40.98,D
-13.46923,134.4903,330.33,1.01,1.01,2023-09-22,0052,T,74,6.1NRT,313.87,10.3,D
-13.42162,134.11003,331.51,1.03,1.01,2023-09-22,0052,T,43,6.1NRT,308.68,14.02,D
-13.42301,134.11932,334.23,1.03,1.01,2023-09-22,0052,T,68,6.1NRT,310.26,17.7,D
-13.42921,134.0993,349.3,1.03,1.01,2023-09-22,0052,T,93,6.1NRT,311.27,46.24,D
